Country,Waterbody Type,Date,Dissolved Oxygen (mg/l),pH (ph units),Nitrogen (mg/l)
China,Bay,2001-01-03,8.840308019872431,7.906666666666666,0.014933333333333333
China,Bay,2001-01-04,8.422222222222222,8.12962962962963,0.01074074074074074
China,Bay,2001-01-05,9.343641353205765,8.035,0.01665
China,Bay,2001-01-09,9.084688820169756,8.233333333333334,0.019
China,Bay,2001-01-10,7.662030153379203,7.920833333333333,0.017291666666666667
China,Bay,2001-01-11,8.158525845753603,8.2375,0.09025
China,Bay,2001-01-12,8.838262426727827,7.972222222222222,0.019666666666666666
China,Bay,2001-01-15,9.182706871172272,8.011111111111111,0.01711111111111111
China,Bay,2001-01-17,9.34226051222756,8.085185185185184,0.010296296296296295
China,Bay,2001-01-22,8.02980075178098,8.272222222222222,0.013166666666666667
China,Bay,2001-02-01,8.459248245406725,8.22,0.028866666666666665
China,Bay,2001-02-02,8.509515942486287,8.3,0.01688888888888889
China,Bay,2001-02-05,8.554045948006406,8.2,0.04211111111111111
China,Bay,2001-02-07,8.880214050548272,8.387500000000001,0.016791666666666667
China,Bay,2001-02-08,9.164273913729428,8.277777777777779,0.06094444444444444
China,Bay,2001-02-09,8.83056063752439,8.377777777777778,0.04655555555555555
China,Bay,2001-02-12,10.288077537260808,7.8375,0.09875
China,Bay,2001-02-14,6.705021538128002,8.166666666666666,0.04175
China,Bay,2001-02-15,8.114017230502402,8.538888888888888,0.01633333333333333
China,Bay,2001-02-16,8.992519239065604,8.33529411764706,0.06982352941176471
China,Bay,2001-02-19,9.239145572115914,8.5,0.015111111111111112
China,Bay,2001-02-23,10.456068922009608,8.5,0.05433333333333334
China,Bay,2001-03-01,8.706974686539098,8.613333333333333,0.009466666666666667
China,Bay,2001-03-02,8.145584273059558,8.56111111111111,0.024666666666666667
China,Bay,2001-03-05,8.543438039411678,8.688888888888888,0.015555555555555555
China,Bay,2001-03-07,9.30960150356196,8.63888888888889,0.015444444444444443
China,Bay,2001-03-08,8.859436184055046,8.27,0.01735
China,Bay,2001-03-09,10.261624477565164,8.327777777777778,0.022666666666666665
China,Bay,2001-03-12,8.425385024840539,8.404166666666667,0.017416666666666667
China,Bay,2001-03-14,6.494038768630404,7.25,0.12662500000000002
China,Bay,2001-03-15,8.498205435297072,8.079166666666666,0.012416666666666666
China,Bay,2001-03-16,9.133695709653841,8.041176470588235,0.014235294117647058
China,Bay,2001-03-21,8.261956557930196,8.18148148148148,0.009296296296296296
China,Bay,2001-04-02,7.97470112767147,8.213333333333333,0.0071333333333333335
China,Bay,2001-04-03,7.861367794338138,8.183333333333332,0.01572222222222222
China,Bay,2001-04-04,8.528034461004804,8.233333333333333,0.009083333333333334
China,Bay,2001-04-06,9.950513366454052,8.044444444444444,0.034666666666666665
China,Bay,2001-04-12,7.9243307573011,8.281481481481482,0.0071111111111111115
China,Bay,2001-04-17,8.979551691507206,7.825,0.08875
China,Bay,2001-04-18,9.618946323896896,8.366666666666667,0.014444444444444446
China,Bay,2001-04-19,7.998129809766402,8.435294117647059,0.018470588235294117
China,Bay,2001-04-20,7.701709742922671,7.8875,0.021833333333333333
China,Bay,2001-04-23,8.502212781777194,8.268571428571429,0.0146
China,Bay,2001-04-27,7.856538768630404,8.283333333333333,0.014041666666666668
